92,8,0,8,0,0,0
84,16,0,16,0,0,0
76,24,0,24,0,0,0
68,32,0,32,0,0,0
60,40,0,40,0,0,0
52,48,0,48,0,0,0
44,56,0,56,0,0,0
36,64,0,64,0,0,0
28,72,0,72,0,0,0
20,80,0,80,0,0,0
12,88,0,88,0,0,0
4,96,0,96,0,0,0
0,100,0,100,0,0,0
-1,92,8,100,0,0,0
-1,84,16,100,0,0,0
-1,76,24,100,0,0,0
-1,68,32,100,0,0,0
-1,60,40,100,0,0,0
-1,52,48,100,0,0,0
-1,44,56,100,0,0,0
-1,36,64,100,0,0,0
-1,28,72,100,0,0,0
-1,20,80,100,0,0,0
-1,12,88,100,0,0,0
-1,4,96,100,0,0,0
-1,0,100,100,0,0,0
-1,-1,92,108,0,0,0
-1,-1,84,116,0,0,0
-1,-1,76,124,0,0,0
-1,-1,68,132,0,0,0
-1,-1,60,140,0,0,0
-1,-1,52,148,0,0,0
-1,-1,44,156,0,0,0
-1,-1,36,164,0,0,0
-1,-1,28,172,0,0,0
-1,-1,20,180,0,0,0
-1,-1,12,188,0,0,0
-1,-1,4,196,0,0,0
-1,-1,0,200,0,0,0
-1,-1,-1,184,8,0,8
-1,-1,-1,168,16,0,16
-1,-1,-1,152,24,0,24
-1,-1,-1,136,32,0,32
-1,-1,-1,120,40,0,40
-1,-1,-1,104,48,0,48
-1,-1,-1,88,56,0,56
-1,-1,-1,72,64,0,64
-1,-1,-1,56,72,0,72
-1,-1,-1,40,80,0,80
-1,-1,-1,24,88,0,88
-1,-1,-1,8,96,0,96
-1,-1,-1,0,100,0,100
-1,-1,-1,-1,92,8,100
-1,-1,-1,-1,84,16,100
-1,-1,-1,-1,76,24,100
-1,-1,-1,-1,68,32,100
-1,-1,-1,-1,60,40,100
-1,-1,-1,-1,52,48,100
-1,-1,-1,-1,44,56,100
-1,-1,-1,-1,36,64,100
-1,-1,-1,-1,28,72,100
-1,-1,-1,-1,20,80,100
-1,-1,-1,-1,12,88,100
-1,-1,-1,-1,4,96,100
-1,-1,-1,-1,0,100,100
-1,-1,-1,-1,-1,92,108
-1,-1,-1,-1,-1,84,116
-1,-1,-1,-1,-1,76,124
-1,-1,-1,-1,-1,68,132
-1,-1,-1,-1,-1,60,140
-1,-1,-1,-1,-1,52,148
-1,-1,-1,-1,-1,44,156
-1,-1,-1,-1,-1,36,164
-1,-1,-1,-1,-1,28,172
-1,-1,-1,-1,-1,20,180
-1,-1,-1,-1,-1,12,188
-1,-1,-1,-1,-1,4,196
-1,-1,-1,-1,-1,0,200
-1,-1,-1,-1,-1,-1,184
-1,-1,-1,-1,-1,-1,168
-1,-1,-1,-1,-1,-1,152
-1,-1,-1,-1,-1,-1,136
-1,-1,-1,-1,-1,-1,120
-1,-1,-1,-1,-1,-1,104
-1,-1,-1,-1,-1,-1,88
-1,-1,-1,-1,-1,-1,72
-1,-1,-1,-1,-1,-1,56
-1,-1,-1,-1,-1,-1,40
-1,-1,-1,-1,-1,-1,24
-1,-1,-1,-1,-1,-1,8
-1,-1,-1,-1,-1,-1,0
